amount,created,project_id
600,9/13/12,35
50,9/14/12,35
1300,9/17/12,35
100,9/18/12,35
36,9/18/12,35
280,9/18/12,35
10,9/19/12,35
1200,9/20/12,35
650,9/20/12,35
60,9/24/12,35
2600,9/25/12,35
10,9/26/12,35
5,9/26/12,35
500,9/26/12,35
50,9/27/12,35
250,10/5/12,35
100,10/5/12,35
500,10/5/12,35
50,10/6/12,35
50,10/6/12,35
30,10/6/12,35
20,10/6/12,35
250,10/7/12,35
179,10/7/12,35
20,10/8/12,35
25,10/9/12,35
60,10/9/12,35
50,10/9/12,35
15,10/9/12,35
25,10/10/12,35
50,10/10/12,35
20,10/11/12,35
100,10/16/12,35
500,10/17/12,35
15,10/17/12,35
100,10/17/12,35
50,10/17/12,35
30,10/20/12,35
100,10/21/12,35
50,10/21/12,35
100,10/21/12,35
50,10/22/12,35
50,10/23/12,35
5,10/23/12,35
45,10/24/12,35
100,10/24/12,35
10,10/24/12,35
50,10/25/12,35
180,10/26/12,35
15,10/27/12,35
1,10/28/12,35
25,10/29/12,35
1000,11/4/12,35
1000,11/8/12,35
15,11/9/12,35
500,11/11/12,35
15,11/11/12,35
100,11/12/12,35
50,11/12/12,35
225,11/13/12,35
15,11/13/12,35
500,11/13/12,35
100,11/14/12,35
100,11/14/12,35
100,11/14/12,35
150,11/15/12,35
15,11/15/12,35
25,11/15/12,35
10,11/16/12,35
100,11/19/12,35
50,11/20/12,35
10,11/20/12,35
50,11/21/12,35
50,11/25/12,35
500,11/25/12,35
100,11/26/12,35
100,11/30/12,35
100,11/30/12,35
45,12/27/12,35
1000,12/28/12,35
1,12/28/12,35
1,12/28/12,35
1,12/28/12,35
1,12/28/12,35
1000,12/28/12,35
100,12/29/12,35
45,12/31/12,35
100,1/1/13,35
100,1/4/13,35
500,1/8/13,35
100,1/10/13,35
10,1/14/13,35
5,11/16/12,38
10,11/16/12,38
50,11/17/12,38
50,11/17/12,38
50,11/17/12,38
20,11/19/12,38
10,11/19/12,38
25,11/19/12,38
205,11/19/12,38
35,11/20/12,38
20,11/20/12,38
50,11/21/12,38
200,11/21/12,38
50,11/25/12,38
100,11/26/12,38
25,11/26/12,38
50,11/28/12,38
25,12/13/12,38
20,12/13/12,38
25,12/14/12,38
1000,12/15/12,38
30,12/21/12,38
500,12/22/12,38
25,12/22/12,38
50,12/23/12,38
75,12/24/12,38
50,12/24/12,38
20,12/26/12,38
100,12/27/12,38
150,12/28/12,38
30,12/28/12,38
15,12/28/12,38
20,12/28/12,38
75,1/1/13,38
100,1/1/13,38
50,1/1/13,38
50,1/2/13,38
40,1/2/13,38
10,1/2/13,38
40,1/3/13,38
25,1/4/13,38
20,1/4/13,38
10,1/7/13,38
30,1/11/13,38
10,1/4/13,48
25,1/4/13,48
100,1/4/13,48
100,1/5/13,48
100,1/5/13,48
20,1/5/13,48
200,1/6/13,48
1,1/6/13,48
50,1/6/13,48
50,1/7/13,48
5,1/8/13,48
100,1/8/13,48
50,1/8/13,48
100,1/9/13,48
50,1/9/13,48
25,1/9/13,48
100,1/10/13,48
20,1/10/13,48
100,1/10/13,48
100,1/10/13,48
100,1/10/13,48
100,1/12/13,48
200,1/13/13,48
50,1/15/13,48
10,1/16/13,48
20,1/17/13,48
100,1/22/13,48
50,1/22/13,48
10,1/22/13,48
50,1/22/13,48
15,1/22/13,48
60,1/23/13,48
5,1/23/13,48
50,1/23/13,48
50,1/24/13,48
10,1/24/13,48
75,1/24/13,48
1,1/25/13,48
50,1/26/13,48
100,1/26/13,48
50,1/27/13,48
20,1/27/13,48
100,1/27/13,48
100,1/28/13,48
15,1/28/13,48
50,1/29/13,48
100,1/29/13,48
40,1/30/13,48
20,1/30/13,48
20,1/30/13,48
280,1/30/13,48
50,1/30/13,48
20,1/31/13,48
200,2/1/13,48
120,2/2/13,48
200,2/3/13,48
200,2/3/13,48
100,2/4/13,48
100,2/4/13,48
100,2/4/13,48
100,2/4/13,48
50,2/4/13,48
100,2/4/13,48
100,2/4/13,48
220,2/4/13,48
75,2/4/13,48
50,2/4/13,48
100,2/4/13,48
50,2/4/13,48
100,2/4/13,48
100,2/5/13,48
1,2/5/13,48
20,2/5/13,48
92,2/5/13,48
30,2/5/13,48
25,2/5/13,48
250,2/6/13,48
80,2/6/13,48
500,2/6/13,48
200,2/6/13,48
50,2/7/13,48
25,2/7/13,48
50,2/7/13,48
500,2/8/13,48
10,2/8/13,48
100,2/14/13,48
40,2/15/13,48
20,2/17/13,48
859,12/24/12,50
11,12/31/12,50
10,1/3/13,50
10,1/5/13,50
100,1/8/13,50
10,1/9/13,50
10,1/10/13,50
50,1/18/13,50
50,1/20/13,50
20,1/21/13,50
25,2/25/13,50
20,3/6/13,50
50,3/7/13,50
150,3/11/13,50
10,3/13/13,50
50,3/16/13,50
50,3/17/13,50
15,3/17/13,50
1000,9/13/13,50
25,9/9/13,57
100,10/31/12,58
5,10/31/12,58
1,10/31/12,58
5,10/31/12,58
10,10/31/12,58
10,10/31/12,58
5,11/1/12,58
150,11/1/12,58
20,11/1/12,58
250,11/1/12,58
50,11/2/12,58
5,11/2/12,58
25,11/2/12,58
35,11/3/12,58
20,11/3/12,58
25,11/3/12,58
284,11/5/12,58
5,11/5/12,58
100,11/7/12,58
20,11/13/12,58
25,11/20/12,58
20,11/30/12,58
50,1/2/13,61
50,1/2/13,61
10,1/2/13,61
50,1/6/13,61
25,1/7/13,61
40,1/17/13,61
35,1/20/13,61
150,1/21/13,61
20,3/1/13,61
5,3/11/13,61
15,3/12/13,61
40,3/18/13,61
10,3/19/13,61
25,3/24/13,61
20,3/27/13,61
50,1/22/13,65
50,1/22/13,65
100,1/23/13,65
300,1/23/13,65
550,1/24/13,65
50,1/24/13,65
1500,1/24/13,65
150,1/25/13,65
25,1/26/13,65
50,1/27/13,65
20,1/27/13,65
50,1/27/13,65
10,1/28/13,65
50,1/28/13,65
1,2/11/13,65
20,2/15/13,65
100,2/25/13,65
10,2/25/13,65
25,2/25/13,65
50,2/25/13,65
5,2/25/13,65
100,2/25/13,65
50,2/25/13,65
1,2/26/13,65
50,2/27/13,65
20,2/28/13,65
25,3/3/13,65
10,3/12/13,65
100,3/12/13,65
25,3/13/13,65
15,3/13/13,65
10,3/14/13,65
50,3/17/13,65
2000,3/22/13,65
50,2/4/13,70
30,2/5/13,70
20,2/7/13,70
10,2/14/13,70
5,3/6/13,70
50,1/24/13,73
20,1/24/13,73
30,1/24/13,73
100,1/24/13,73
20,1/24/13,73
30,1/24/13,73
25,1/24/13,73
30,1/24/13,73
10,1/25/13,73
20,1/25/13,73
20,1/25/13,73
5,1/25/13,73
20,1/27/13,73
12,1/27/13,73
10,1/27/13,73
25,1/28/13,73
50,1/28/13,73
20,1/28/13,73
10,1/28/13,73
10,1/28/13,73
1,1/31/13,73
50,2/1/13,73
100,2/1/13,73
5,2/2/13,73
890,2/3/13,73
4,2/4/13,73
300,2/5/13,73
10,2/5/13,73
50,2/5/13,73
92,2/6/13,73
10,2/8/13,73
50,2/17/13,73
100,2/17/13,73
15,2/17/13,73
10,2/17/13,73
30,2/24/13,73
55,2/24/13,73
50,2/24/13,73
25,2/24/13,73
25,2/25/13,73
25,3/1/13,73
100,3/1/13,73
50,3/3/13,73
25,3/4/13,73
10,3/5/13,73
15,3/7/13,73
20,3/8/13,73
30,3/11/13,73
20,3/11/13,73
5,3/12/13,73
5,3/12/13,73
30,3/15/13,73
25,3/15/13,73
50,3/15/13,73
20,3/16/13,73
100,3/17/13,73
90,3/17/13,73
10,3/18/13,73
10,3/18/13,73
450,3/8/13,82
25,3/11/13,82
100,3/11/13,82
50,3/13/13,82
100,3/13/13,82
10,3/13/13,82
25,3/13/13,82
25,3/13/13,82
50,3/13/13,82
50,3/13/13,82
25,3/14/13,82
25,3/15/13,82
10,3/15/13,82
15,3/15/13,82
10,3/15/13,82
25,3/15/13,82
25,3/16/13,82
10,3/16/13,82
100,3/17/13,82
15,3/17/13,82
25,3/17/13,82
10,3/17/13,82
50,3/18/13,82
25,3/19/13,82
50,3/19/13,82
58,3/24/13,82
100,3/25/13,82
10,3/26/13,82
25,3/26/13,82
50,3/27/13,82
10,3/27/13,82
25,3/27/13,82
310,3/27/13,82
25,3/27/13,82
50,3/27/13,82
11,3/27/13,82
10,3/27/13,82
25,3/27/13,82
100,3/27/13,82
20,3/27/13,82
25,3/27/13,82
25,3/27/13,82
10,3/27/13,82
100,3/27/13,82
100,3/27/13,82
15,3/27/13,82
500,3/27/13,82
50,3/27/13,82
50,3/27/13,82
50,3/27/13,82
100,3/27/13,82
50,3/27/13,82
5,3/27/13,82
100,3/27/13,82
35,3/27/13,82
100,3/27/13,82
150,3/27/13,82
50,3/27/13,82
40,3/27/13,82
25,3/27/13,82
20,3/28/13,82
50,3/28/13,82
50,3/28/13,82
25,3/28/13,82
200,3/28/13,82
25,3/28/13,82
50,3/28/13,82
250,3/28/13,82
75,3/28/13,82
10,3/28/13,82
50,3/28/13,82
20,3/29/13,82
25,3/29/13,82
10,4/1/13,82
50,4/3/13,82
20,4/3/13,82
100,4/8/13,82
500,4/9/13,82
50,4/10/13,82
25,4/24/13,82
1,4/25/13,82
20,4/26/13,82
500,4/29/13,82
25,4/30/13,82
15,4/30/13,82
20,4/30/13,82
10,4/30/13,82
25,5/1/13,82
50,5/1/13,82
10,5/1/13,82
20,5/1/13,82
50,5/1/13,82
100,5/1/13,82
100,5/1/13,82
100,5/1/13,82
75,5/1/13,82
500,5/1/13,82
25,5/1/13,82
100,5/1/13,82
100,5/2/13,82
100,5/2/13,82
50,5/2/13,82
100,5/2/13,82
25,5/2/13,82
100,5/2/13,82
35,5/2/13,82
200,5/2/13,82
25,5/3/13,82
25,5/5/13,82
40,5/5/13,82
5,5/7/13,82
30,5/8/13,82
50,5/8/13,82
20,5/8/13,82
500,5/8/13,82
50,5/8/13,82
50,5/8/13,82
100,5/8/13,82
100,5/8/13,82
1410,5/8/13,82
25,5/9/13,82
100,5/14/13,82
200,5/14/13,82
36,5/17/13,82
33,5/17/13,82
100,5/17/13,82
25,5/21/13,82
100,5/22/13,82
50,5/23/13,82
10,5/23/13,82
100,5/23/13,82
20,5/23/13,82
10,5/23/13,82
50,5/25/13,82
25,5/26/13,82
1,5/27/13,82
20,5/30/13,82
10,5/30/13,82
25,5/31/13,82
50,5/31/13,82
25,5/31/13,82
50,5/31/13,82
50,5/31/13,82
25,5/31/13,82
10,5/31/13,82
5,5/31/13,82
20,5/31/13,82
5,5/31/13,82
25,5/31/13,82
50,5/31/13,82
20,5/31/13,82
25,5/31/13,82
25,5/31/13,82
15,5/31/13,82
20,6/1/13,82
10,6/1/13,82
8,6/1/13,82
20,6/1/13,82
25,6/1/13,82
250,6/1/13,82
25,6/1/13,82
50,6/1/13,82
5,6/1/13,82
50,6/1/13,82
25,6/1/13,82
50,6/1/13,82
20,6/1/13,82
25,6/1/13,82
20,6/1/13,82
500,6/1/13,82
100,6/1/13,82
50,6/1/13,82
25,6/1/13,82
10,6/1/13,82
250,6/1/13,82
10,6/1/13,82
50,6/1/13,82
40,6/1/13,82
100,6/1/13,82
35,6/1/13,82
10,6/2/13,82
75,6/2/13,82
100,6/2/13,82
20,6/2/13,82
100,6/2/13,82
100,6/2/13,82
50,6/2/13,82
50,6/2/13,82
15,6/2/13,82
50,6/3/13,82
100,6/3/13,82
10,6/3/13,82
25,6/3/13,82
10,6/3/13,82
25,6/3/13,82
500,6/3/13,82
100,6/3/13,82
25,6/3/13,82
100,6/3/13,82
10,6/4/13,82
25,6/4/13,82
50,6/4/13,82
25,6/4/13,82
20,6/4/13,82
50,6/4/13,82
100,6/4/13,82
25,6/4/13,82
50,6/4/13,82
10,6/4/13,82
20,6/5/13,82
300,6/5/13,82
50,6/5/13,82
25,6/5/13,82
25,6/5/13,82
5,6/5/13,82
50,6/6/13,82
20,6/6/13,82
10,6/6/13,82
50,6/6/13,82
5,6/6/13,82
25,6/6/13,82
20,6/8/13,82
25,6/9/13,82
10,6/9/13,82
30,6/11/13,82
125,6/11/13,82
100,6/11/13,82
100,6/11/13,82
30,6/11/13,82
600,6/12/13,82
10,6/12/13,82
25,6/12/13,82
100,6/12/13,82
100,6/12/13,82
25,6/12/13,82
10,6/12/13,82
250,6/12/13,82
100,6/12/13,82
50,6/12/13,82
50,6/12/13,82
5,6/12/13,82
5,6/12/13,82
601,6/13/13,82
50,6/13/13,82
100,6/13/13,82
41,6/13/13,82
100,6/13/13,82
100,6/13/13,82
2125,6/13/13,82
100,6/13/13,82
10,6/13/13,82
20,6/13/13,82
100,6/13/13,82
30,6/13/13,82
100,6/13/13,82
25,6/13/13,82
25,6/13/13,82
30,6/13/13,82
100,6/13/13,82
25,6/13/13,82
250,6/13/13,82
100,6/13/13,82
50,6/13/13,82
100,6/13/13,82
100,6/13/13,82
50,6/13/13,82
100,6/13/13,82
80,6/13/13,82
100,6/13/13,82
20,6/14/13,82
25,6/14/13,82
30,6/14/13,82
20,6/14/13,82
20,6/15/13,82
100,6/15/13,82
10,6/25/13,85
260,6/27/13,85
25,6/28/13,85
200,7/2/13,85
50,7/7/13,85
50,7/7/13,85
500,7/9/13,85
50,7/10/13,85
100,7/11/13,85
25,7/15/13,85
100,7/15/13,85
25,7/15/13,85
50,7/16/13,85
25,7/16/13,85
50,7/16/13,85
50,7/17/13,85
100,7/18/13,85
20,7/19/13,85
180,7/19/13,85
100,7/19/13,85
50,7/22/13,85
26,7/23/13,85
50,7/23/13,85
100,7/28/13,85
25,7/31/13,85
50,7/31/13,85
50,7/31/13,85
250,8/5/13,85
100,8/6/13,85
100,8/8/13,85
25,8/8/13,85
100,8/8/13,85
500,8/9/13,85
100,8/11/13,85
100,8/11/13,85
126,8/11/13,85
25,8/11/13,85
50,8/11/13,85
650,8/12/13,85
10,8/13/13,85
50,8/13/13,85
25,8/13/13,85
10,8/13/13,85
50,8/13/13,85
20,8/13/13,85
20,8/14/13,85
100,8/15/13,85
50,8/16/13,85
25,8/18/13,85
100,8/19/13,85
15,8/20/13,85
87,8/20/13,85
500,8/21/13,85
50,9/3/13,85
500,9/3/13,85
50,9/3/13,85
100,4/12/13,88
100,4/12/13,88
1,4/20/13,88
100,5/6/13,88
5,5/14/13,88
400,3/14/13,90
30,3/15/13,90
200,3/15/13,90
50,3/15/13,90
100,3/16/13,90
100,3/16/13,90
500,3/17/13,90
5,3/17/13,90
20,3/18/13,90
25,3/18/13,90
20,3/18/13,90
100,3/18/13,90
150,3/21/13,90
100,3/21/13,90
200,3/21/13,90
50,3/21/13,90
1,3/22/13,90
10,3/22/13,90
20,3/23/13,90
250,3/25/13,90
10,3/25/13,90
5,3/25/13,90
10,3/25/13,90
20,3/26/13,90
100,3/26/13,90
5,3/26/13,90
25,3/27/13,90
30,3/27/13,90
20,3/27/13,90
10,3/27/13,90
25,3/27/13,90
10,3/27/13,90
100,3/28/13,90
50,3/30/13,90
20,4/3/13,90
10,4/5/13,90
20,4/6/13,90
1,4/20/13,90
4100,4/30/13,90
3000,5/4/13,90
70,5/5/13,90
25,5/5/13,90
20,5/5/13,90
20,5/5/13,90
10,5/5/13,90
30,5/6/13,90
5,4/1/13,94
50,3/12/13,96
100,3/12/13,96
30,3/12/13,96
500,3/12/13,96
200,3/12/13,96
100,3/15/13,96
20,3/16/13,96
150,3/16/13,96
20,3/17/13,96
100,3/17/13,96
20,3/18/13,96
100,3/18/13,96
100,3/18/13,96
100,3/19/13,96
25,3/20/13,96
100,3/20/13,96
12,3/21/13,96
100,3/21/13,96
25,3/21/13,96
20,3/23/13,96
10,3/23/13,96
50,3/24/13,96
20,3/24/13,96
50,3/25/13,96
25,3/26/13,96
100,3/26/13,96
50,3/27/13,96
5,3/27/13,96
200,3/28/13,96
50,4/2/13,96
50,4/3/13,96
100,4/3/13,96
100,4/3/13,96
100,4/3/13,96
50,4/3/13,96
200,4/4/13,96
50,4/4/13,96
25,4/4/13,96
20,4/4/13,96
50,4/4/13,96
50,4/4/13,96
50,4/4/13,96
200,4/4/13,96
100,4/4/13,96
23,4/4/13,96
10,4/5/13,96
50,4/5/13,96
20,4/5/13,96
100,4/5/13,96
35,4/5/13,96
40,4/5/13,96
20,4/6/13,96
100,4/6/13,96
10,4/7/13,96
25,4/7/13,96
50,4/7/13,96
50,4/8/13,96
100,4/8/13,96
10,4/8/13,96
5,4/9/13,96
50,4/9/13,96
25,4/10/13,96
25,4/10/13,96
100,4/10/13,96
50,4/10/13,96
100,4/10/13,96
30,4/10/13,96
15,4/11/13,96
10,4/11/13,96
100,4/12/13,96
20,4/12/13,96
5,4/12/13,96
25,4/13/13,96
15,4/13/13,96
10,4/13/13,96
40,4/15/13,96
30,4/15/13,96
10,4/16/13,96
15,4/16/13,96
50,4/16/13,96
25,4/16/13,96
20,4/17/13,96
25,4/17/13,96
115,4/17/13,96
75,4/17/13,96
50,4/17/13,96
20,4/18/13,96
40,4/19/13,96
100,4/22/13,96
50,4/23/13,96
10,4/23/13,96
50,4/25/13,96
10,4/28/13,96
15,4/28/13,96
5,4/28/13,96
40,4/29/13,96
50,4/29/13,96
25,4/29/13,96
20,4/29/13,96
100,4/29/13,96
300,4/30/13,96
200,4/30/13,96
10,4/30/13,96
10,4/30/13,96
15,4/30/13,96
10,4/30/13,96
25,4/30/13,96
20,4/30/13,96
10,5/1/13,96
25,5/2/13,96
50,3/11/13,98
25,3/12/13,98
10,3/14/13,98
50,3/15/13,98
10,3/23/13,98
20,3/11/13,102
20,3/14/13,102
500,3/18/13,102
10,4/5/13,102
40,3/3/13,104
100,3/5/13,104
10,3/6/13,104
3500,3/16/13,104
25,3/21/13,104
100,3/21/13,104
20,3/23/13,104
10,3/25/13,104
300,3/25/13,104
5,3/25/13,104
20,3/25/13,104
10,3/25/13,104
25,3/25/13,104
5,3/25/13,104
50,3/27/13,104
20,3/28/13,104
40,3/28/13,104
300,3/28/13,104
15,3/28/13,104
25,3/28/13,104
25,3/28/13,104
20,3/28/13,104
25,3/28/13,104
5,3/28/13,104
30,3/28/13,104
500,3/29/13,104
50,3/30/13,104
20,4/5/13,104
50,7/2/13,104
15,7/18/13,104
11,3/11/13,107
10,4/5/13,107
5,2/3/14,110
10,2/4/14,110
25,2/4/14,110
10,2/4/14,110
25,2/4/14,110
10,2/5/14,110
100,2/5/14,110
10,2/6/14,110
20,2/7/14,110
100,2/7/14,110
20,2/7/14,110
100,2/8/14,110
50,2/8/14,110
25,2/8/14,110
10,2/8/14,110
100,2/9/14,110
100,2/9/14,110
20,2/11/14,110
50,3/8/13,112
300,3/14/13,112
100,3/14/13,112
2,3/15/13,112
5,3/17/13,112
100,3/20/13,112
5,3/20/13,112
10,3/20/13,112
3,3/20/13,112
50,3/20/13,112
30,3/20/13,112
10,3/20/13,112
20,3/20/13,112
6,3/20/13,112
25,3/20/13,112
20,3/20/13,112
15,3/20/13,112
25,3/20/13,112
25,3/20/13,112
100,3/21/13,112
20,3/21/13,112
50,3/21/13,112
5,3/21/13,112
50,3/21/13,112
25,3/22/13,112
50,3/23/13,112
10,3/24/13,112
100,3/26/13,112
10,3/27/13,112
25,3/27/13,112
100,3/29/13,112
40,3/30/13,112
10,4/6/13,112
10,4/16/13,112
1,4/20/13,112
30,5/2/13,112
5,5/7/13,112
50,5/14/13,112
4,5/15/13,112
50,3/20/13,113
50,3/20/13,113
10,3/20/13,113
20,3/20/13,113
130,3/20/13,113
260,3/20/13,113
1,3/20/13,113
20,3/20/13,113
10,3/20/13,113
25,3/20/13,113
30,3/20/13,113
50,3/20/13,113
25,3/20/13,113
22,3/20/13,113
10,3/20/13,113
100,3/20/13,113
20,3/20/13,113
50,3/20/13,113
25,3/20/13,113
100,3/20/13,113
40,3/20/13,113
100,3/20/13,113
42,3/21/13,113
5,3/21/13,113
100,3/21/13,113
50,3/21/13,113
20,3/21/13,113
10,3/21/13,113
25,3/21/13,113
10,3/21/13,113
5,3/21/13,113
10,3/21/13,113
50,3/21/13,113
50,3/21/13,113
10,3/22/13,113
5,3/22/13,113
25,3/22/13,113
50,3/23/13,113
10,3/23/13,113
20,3/23/13,113
25,3/23/13,113
30,3/23/13,113
10,3/23/13,113
17,3/23/13,113
80,3/23/13,113
47,3/23/13,113
40,3/23/13,113
10,3/23/13,113
100,3/23/13,113
100,3/23/13,113
100,3/23/13,113
10,3/23/13,113
20,3/24/13,113
25,3/24/13,113
100,3/24/13,113
250,3/24/13,113
50,3/24/13,113
20,3/24/13,113
100,3/24/13,113
100,3/24/13,113
50,3/24/13,113
40,3/24/13,113
100,3/24/13,113
10,3/24/13,113
75,3/25/13,113
50,3/25/13,113
100,3/25/13,113
25,3/25/13,113
100,3/25/13,113
20,3/25/13,113
40,3/25/13,113
20,3/25/13,113
50,3/26/13,113
15,3/26/13,113
10,3/26/13,113
100,3/26/13,113
10,3/26/13,113
50,3/26/13,113
15,3/27/13,113
5,3/27/13,113
50,3/27/13,113
5,3/27/13,113
10,3/28/13,113
50,3/28/13,113
40,3/28/13,113
25,3/29/13,113
100,3/29/13,113
25,3/29/13,113
50,3/30/13,113
